Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Фасадные краски,AKRIKOR структурная BW  9,Остаток Алматы: 5 шт,53 080 KZT,5248859,Marshall,Турция,9 л
Фасадные краски,"Краска Luxium Prof Diamond Фасад Глад мт BW 2,5л",Остаток Алматы: 5 шт,27 890 KZT,50034855,LUXIUM,Германия,"2,5 л"
Фасадные краски,Краска Dulux TRADE Фасадная гладкая bs BW  1,Остаток Алматы: 1 шт,10 650 KZT,5255345,Dulux,Англия,1 л
Фасадные краски,Marshall ФАСАД+ BC  9,Остаток Алматы: 4 шт,21 240 KZT,5261401,Marshall,Турция,9 л
Фасадные краски,KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 9,Остаток Алматы: 3 шт,93 250 KZT,970201010,Teknos,Финляндия,9 л
Фасадные краски,"MAESTRO фасадная акриловая BW  4,5",Остаток Алматы: 3 шт,21 150 KZT,5251964,Marshall,Турция,"4,5 л"
Фасадные краски,Marshall ФАСАД+ BW  9,Остаток Алматы: 2 шт,21 240 KZT,5261348,Marshall,Турция,9 л
Фасадные краски,Краска Dulux Professional Diamond Фасадная Гладкая мат BW 9л,Остаток Алматы: 1 шт,84 950 KZT,5770494,Dulux,Англия,9 л
Фасадные краски,"Краска Dulux Professional BINDO FACADE для фасадов и цоколей BC 2,25л",Остаток Алматы: 1 шт,11 620 KZT,5351673,Dulux,Англия,"2,25 л"
Фактурные краски,Защитное покрытие BETONCRYLL IDROREPELL.  LT. 1,Остаток Астана: 1 шт,33 900 KZT,TB0I00000E,Oikos,Италия,1 л
Фактурные краски,"Краска SOIE MATE, 1 л",Остаток Алматы: 1 шт,32 488 KZT,MD SM-10,Maitre Deco,Франция,1 л
Обои,(130 g/m2) безфактурный  1.06см * 25м,Остаток Алматы: 12 шт,29 000 KZT,9790,ОБОИ,Не указана,Не указан
Обои,New Style Patent Décor  1.06см * 25м,Остаток Алматы: 1 шт,29 500 KZT,9342,ОБОИ,Не указана,Не указан
Малярные инструменты,"Ролик специальный для решеток, арматур, оград, 50 мм (2 шт.), ядро 35 мм,  пенополиэстер высокой пло",Остаток Алматы: 430 шт,3 470 KZT,30-1264,Master color,Россия,Не указан
Малярные инструменты,"Валик, ядро 44 мм, микрофибра ""Micromix"", ворс 12 мм, под 8 мм ручку, 250 мм",Остаток Алматы: 396 шт,3 120 KZT,30-0843,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 30 мм,  толщ. 12 мм, ПЭТ-щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 362 шт,630 KZT,30-0201,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная золотистая, рисовая бумага, термостойк. до 120°C, УФ-стойкость до 30 дней, 9 мм х 50",Остаток Алматы: 243 шт,1 040 KZT,30-6120,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 50 мм, толщ. 13 мм, ПЭТ-щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 231 шт,800 KZT,30-0203,Master color,Россия,Не указан
Малярные инструменты,"Clever Cover: укрывная пленка с пвх-лентой, 55 см х 25 м . Статически заряжена. 7 мкр.",Остаток Алматы: 210 шт,3 470 KZT,30-7122,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 70 мм,  толщ. 16 мм, 70% ПБT/30% светл.натур. щетина, ручка тверд.дерева",Остаток Алматы: 165 шт,4 160 KZT,30-0045,Master color,Россия,Не указан
Малярные инструменты,"Clever Cover: укрывная пленка с золотистой малярной лентой, 270 см х 17 м. Статически заряжена. 7 мк",Остаток Алматы: 142 шт,5 200 KZT,30-7118,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 70 мм,  толщ. 16 мм, ПЭТ-щетина, нерж. обжим, ручка тверд.дерева",Остаток Алматы: 125 шт,4 160 KZT,30-0035,Master color,Россия,Не указан
Малярные инструменты,"Валик, 10 см., ядров 35 мм,  пенополиэстер, мелкопористый, под 6 мм ручку желт.",Остаток Алматы: 123 шт,530 KZT,30-1022,Master color,Россия,Не указан
Малярные инструменты,"Лента малярная для деликатных поверхностей,  рисовая бумага, термостойк. до 120°C, УФ-стойкость до 3",Остаток Алматы: 111 шт,3 120 KZT,30-6134,Master color,Россия,Не указан
Малярные инструменты,"Макловица, 120х30 мм, 70%ПЭT/30% натур. щетина, нерж. обжим, красная пласт. ручка",Остаток Алматы: 120 шт,1 390 KZT,30-0583,Master color,Россия,Не указан
Малярные инструменты,"Кисть флейц., ширина 70 мм, толщ. 16 мм, 70% ПЭT/30% натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 117 шт,1 390 KZT,30-0234,Master color,Россия,Не указан
Малярные инструменты,"Валик, 25 см, ядро 47, микрофибра, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 109 шт,2 080 KZT,30-0837,Master color,Россия,Не указан
