Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Универсальные краски,Краска  ULTRASATEN SATIN.TR NEW LT.1,Остаток Алматы: 4 шт,17 200 KZT,OISUL0TR1E,Oikos,Италия,1 л
Универсальные краски,"Краска LAQUE MATE в/э мат. база средняя 2,5л",Остаток Алматы: 8 шт,96 450 KZT,ALMI25,Argile,Франция,"2,5 л"
Универсальные краски,"Краска в/э акриловая матовая база темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 8 шт,36 050 KZT,PLPFD075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,Краска  ENCANTO ORO BASE      LT. 1,Остаток Алматы: 8 шт,46 800 KZT,FE000OR00E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая влагостойкая база экстра-темная 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 8 шт,69 050 KZT,PLARE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,Краска  OTTOCENTO BASE P      LT. 4,Остаток Алматы: 7 шт,206 500 KZT,FO000P000D,Oikos,Италия,4 л
Универсальные краски,"Краска в/э база акриловая матовая база темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPD,PPL(Paint&Paper Library),Англия,"0,25 л"
Универсальные краски,Краска  ULTRASATEN OPACO TR NEW LT.4,Остаток Алматы: 2 шт,60 200 KZT,OISULOTR1D,Oikos,Италия,4 л
Универсальные краски,Краска SUPERCOLOR BASE I        LT.10,Остаток Алматы: 5 шт,107 600 KZT,OISSUPI00O,Oikos,Италия,10 л
Универсальные краски,"Краска в/э база акриловая матовая база э.-темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPE,PPL(Paint&Paper Library),Англия,"0,25 л"
Универсальные краски,Краска  SUPERCOLOR BASE TR NEW   LT. 1,Остаток Алматы: 2 шт,11 600 KZT,OISSUPTR1E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая влагостойкая база экстра-темная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 7 шт,37 110 KZT,PLARE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,Краска  ULTRASATEN OPACO I      LT.4,Остаток Алматы: 5 шт,67 600 KZT,OISULOI00D,Oikos,Италия,4 л
Универсальные краски,"Краска ультрамат. д-потолков KELLY-MOORE Ceiling Paint (цвет- ultra white, flat), банка 0,946л",Остаток Алматы: 6 шт,20 600 KZT,10021-1Q,KELLY-MOORE,Америка,"0,946 л"
Универсальные краски,Штукатурка MARMORINO NAT. P/BIANCO  KG. 1,Остаток Алматы: 2 шт,6 600 KZT,LMM000000T,Oikos,Италия,1 кг
Универсальные краски,"Краска M ПОТОЛОК 2,5л",Остаток Астана: 6 шт,3 715 KZT,5261402,Marshall,Турция,"2,5 л"
Универсальные краски,Эмаль универсальная коричневая,Остаток Алматы: 6 шт,2 200 KZT,KU-1012,KUDO,Россия,520 мл
Универсальные краски,Краска PALLAS BASE P LT. 4,Остаток Алматы: 4 шт,158 600 KZT,PALPAL0P0D,Oikos,Италия,4 л
Универсальные краски,Краска в/э матовая Veloute база  светлая 10л,Остаток Алматы: 5 шт,253 400 KZT,AMVP10,Argile,Франция,10 л
Универсальные краски,Краска в/э акриловая матовая база светлая 5л,Остаток Алматы: 5 шт,128 030 KZT,AMPP5,Argile,Франция,5 л
Универсальные краски,"Краска в/э акриловая матовая база  экстра-темная 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,112 545 KZT,PLPFE5,PPL(Paint&Paper Library),Англия,5 л
Универсальные краски,"Краска в/э акриловая матовая база  экстра-темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,"Краска в/э акриловая матовая база средняя 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,63 880 KZT,PLPFM25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,"Краска в/э акриловая матовая база средняя 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 5 шт,36 050 KZT,PLPFM075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,Краска  ULTRASATEN OPACO I      LT.1,Остаток Алматы: 5 шт,18 800 KZT,OISULOI00E,Oikos,Италия,1 л
Универсальные краски,Краска  ULTRASATEN SATIN.TR NEW LT.4,Остаток Алматы: 5 шт,63 000 KZT,OISUL0TR1D,Oikos,Италия,4 л
Универсальные краски,"Краска в/э матовая Veloute база светлая 2,5л",Остаток Алматы: 5 шт,85 960 KZT,AMVP25,Argile,Франция,"2,5 л"
Универсальные краски,Краска в/э матовая Veloute база средняя 5л,Остаток Алматы: 5 шт,154 310 KZT,AMVI5,Argile,Франция,5 л
Универсальные краски,Краска  OTTOCENTO BASE TR     LT. 1,Остаток Алматы: 4 шт,51 800 KZT,FO000TR00E,Oikos,Италия,1 л
Универсальные краски,Эмаль универсальная белая глянцевая,Остаток Алматы: 4 шт,2 200 KZT,KU-1001,KUDO,Россия,520 мл
Универсальные краски,Краска  SUPERCOLOR BIANCO        LT. 4,Остаток Алматы: 4 шт,46 800 KZT,OISSUS000D,Oikos,Италия,4 л
Универсальные краски,"Краска в/э матовая влагостойкая база темная 2.5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 4 шт,69 050 KZT,PLARD25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,Краска в/э матовая Veloute база  светлая 0.75л,Остаток Алматы: 4 шт,36 750 KZT,AMVP075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска в/э акриловая матовая база белая 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,112 545 KZT,PLPF5,PPL(Paint&Paper Library),Англия,5 л
Универсальные краски,Краска  SUPERCOLOR BASE P        LT. 1,Остаток Алматы: 3 шт,12 700 KZT,OISSUPP00E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э акриловая матовая база белая 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,36 050 KZT,PLPF075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,"Краска в/э акриловая матовая база бесцветная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 4 шт,63 880 KZT,PLPFT25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,"LEGEND Декоративное покрытие с эффектом замши, 2",Остаток Астана: 3 шт,67 461 KZT,MD LG-20,Maitre Deco,Франция,2 л
Универсальные краски,"Краска в/э матовая Veloute база T343, 5л",Остаток Алматы: 3 шт,,AMVT3435,Argile,Франция,5 л
Универсальные краски,Краска  ULTRASATEN OPACO P      LT.4,Остаток Алматы: 3 шт,72 800 KZT,OISULOP00D,Oikos,Италия,4 л
Универсальные краски,Краска  SUPERCOLOR BASE TR NEW   LT. 4,Остаток Алматы: 3 шт,41 400 KZT,OISSUPTR1D,Oikos,Италия,4 л
Универсальные краски,"Краска  IMPERIUM IMP  54 BASE LT. 0,25",Остаток Алматы: 1 шт,24 900 KZT,FI0000054Q,Oikos,Италия,"0,25 л"
Универсальные краски,"Краска в/э матовая влагостойкая база белая 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 3 шт,37 110 KZT,PLAR075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,"Краска в/э акриловая матовая база экстра-темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,36 050 KZT,PPLPFE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,Краска  SUPERCOLOR BASE P        LT. 4,Остаток Алматы: 3 шт,45 800 KZT,OISSUPP00D,Oikos,Италия,4 л
Универсальные краски,Краска  ULTRASATEN OPACO TR NEW LT.10,Остаток Алматы: 3 шт,141 200 KZT,OISULOTR1O,Oikos,Италия,10 л
Универсальные краски,Краска  SUPERCOLOR BASE P        LT.10,Остаток Алматы: 3 шт,103 100 KZT,OISSUPP00O,Oikos,Италия,10 л
Универсальные краски,Краска  PALLAS BASE P LT. 1,Остаток Алматы: 3 шт,39 300 KZT,PALPAL0P0E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э акриловая матовая база темная 2,5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 3 шт,63 880 KZT,PLPFD25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,Краска Dulux Professional BINDO 7 матовая BC 9л,Остаток Астана: 2 шт,56 250 KZT,5309495,Dulux,Англия,9 л
Универсальные краски,"Краска Dulux 3D White матовая BW 2,5л",Остаток Алматы: 2 шт,17 370 KZT,5701640,Dulux,Англия,"2,5 л"
Универсальные краски,Краска  ULTRASATEN SATIN.P      LT.4,Остаток Алматы: 2 шт,76 200 KZT,OISUL0P00D,Oikos,Италия,4 л
Универсальные краски,Краска  ULTRASATEN SATIN.P      LT.1,Остаток Астана: 2 шт,20 400 KZT,OISUL0P00E,Oikos,Италия,1 л
Универсальные краски,Краска  OTTOCENTO BASE TR     LT. 4,Остаток Алматы: 2 шт,195 600 KZT,FO000TR00D,Oikos,Италия,4 л
Универсальные краски,Краска  ULTRASATEN OPACO I      LT.10,Остаток Алматы: 2 шт,159 900 KZT,OISULOI00O,Oikos,Италия,10 л
Универсальные краски,"Краска в/э матовая влагостойкая база бесцветная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 2 шт,37 110 KZT,PLAT075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,"Краска в/э акриловая полуматовая, б. э-темная 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,Краска ENCANTO BIANCO BASE   LT. 4,Остаток Алматы: 2 шт,170 900 KZT,FE000BN00D,Oikos,Италия,4 л
Универсальные краски,Краска  ULTRASATEN OPACO P      LT.1,Остаток Алматы: 2 шт,19 800 KZT,OISULOP00E,Oikos,Италия,1 л
Универсальные краски,Краска  SUPERCOLOR BASE I        LT. 4,Остаток Алматы: 2 шт,44 100 KZT,OISSUPI00D,Oikos,Италия,4 л
Универсальные краски,Краска  ENCANTO GOLD BASE     LT. 1,Остаток Алматы: 2 шт,40 900 KZT,FE000GO00E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э акриловая полуматовая, б. темная 0,75л, Architects Satinwood, Paint&Paper Library (100131",Остаток Алматы: 2 шт,43 660 KZT,PLASD075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,Краска  IMPERIUM IMP  54 BASE LT. 1,Остаток Астана: 2 шт,81 200 KZT,FI0000054E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э акриловая полуматовая, б. средняя 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASM25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,"Краска Dulux Professional BINDO 7 матовая BC 0,9л",Остаток Алматы: 1 шт,7 270 KZT,5309524,Dulux,Англия,"0,9 л"
Универсальные краски,"Краска Dulux Professional BINDO 7 матовая BC 2,25л",Остаток Алматы: 1 шт,18 290 KZT,5309399,Dulux,Англия,"2,25 л"
Универсальные краски,Краска  OTTOCENTO BASE D      LT. 4,Остаток Алматы: 1 шт,203 900 KZT,FO000D000D,Oikos,Италия,4 л
Универсальные краски,"Краска в/э матовая Veloute база T412, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT412075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска SOIE MATE, 1 л",Остаток Алматы: 1 шт,32 488 KZT,MD SM-10,Maitre Deco,Франция,1 л
Универсальные краски,Краска LAQUE MATE в/э мат. база светлая 10л,Остаток Алматы: 1 шт,285 000 KZT,ALMP10,Argile,Франция,10 л
Универсальные краски,Краска  KREOS BIANCO          LT. 4,Остаток Алматы: 1 шт,99 400 KZT,FK0000000D,Oikos,Италия,4 л
Универсальные краски,Краска  OTTOCENTO BASE D      LT. 1,Остаток Алматы: 1 шт,55 200 KZT,FO000D000E,Oikos,Италия,1 л
Универсальные краски,Краска в/э матовая Veloute база натуральная 0.75л,Остаток Алматы: 1 шт,36 750 KZT,AMVN075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска в/э матовая влагостойкая база белая 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 1 шт,69 050 KZT,PLAR25,PPL(Paint&Paper Library),Англия,"2,5 л"
Универсальные краски,"Краска  IMPERIUM IMP  TR BASE LT. 0,25",Остаток Алматы: 1 шт,16 700 KZT,FI00000TRQ,Oikos,Италия,"0,25 л"
Универсальные краски,"Краска IMPERIUM IMP  99 BASE LT. 0,25",Остаток Алматы: 1 шт,26 400 KZT,FI0000099Q,Oikos,Италия,"0,25 л"
Универсальные краски,"Краска в/э акриловая матовая база бесцветная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 1 шт,36 050 KZT,PLPFT075,PPL(Paint&Paper Library),Англия,"0,75 л"
Универсальные краски,"Краска LAQUE MATE в/э мат. база натуральная 0,75л",Остаток Алматы: 1 шт,42 070 KZT,ALMN075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска  IMPERIUM IMP  48 BASE LT. 0,25",Остаток Алматы: 1 шт,36 400 KZT,FI0000048Q,Oikos,Италия,"0,25 л"
Универсальные краски,Краска  SUPERCOLOR BIANCO        LT.10,Остаток Алматы: 1 шт,104 800 KZT,OISSUS000O,Oikos,Италия,10 л
Универсальные краски,Краска  VELDECOR BASE P      LT. 1,Остаток Алматы: 1 шт,24 300 KZT,TV000P000E,Oikos,Италия,1 л
Универсальные краски,Краска  KREOS BIANCO          LT. 1,Остаток Алматы: 1 шт,27 100 KZT,FK0000000E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая Veloute база T424, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT424075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска в/э матовая Veloute база T812, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT812075,Argile,Франция,"0,75 л"
Универсальные краски,Краска  DUCA VENEZIA BASE     LT. 1,Остаток Алматы: 1 шт,20 800 KZT,FD0000000E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая Veloute база T142, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT142075,Argile,Франция,"0,75 л"
Универсальные краски,Краска  ENCANTO SILVER BASE   LT. 1,Остаток Алматы: 1 шт,40 900 KZT,FE000SI00E,Oikos,Италия,1 л
Универсальные краски,Краска  SUPERCOLOR BASE TR NEW   LT.10,Остаток Алматы: 1 шт,97 000 KZT,OISSUPTR1O,Oikos,Италия,10 л
Универсальные краски,Краска  IMPERIUM IMP  09 BASE LT. 1,Остаток Астана: 1 шт,54 100 KZT,FI0000009E,Oikos,Италия,1 л
Универсальные краски,Краска  IMPERIUM IMP  81 BASE LT. 1,Остаток Алматы: 1 шт,81 200 KZT,FI0000081E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая Veloute база T133, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT133075,Argile,Франция,"0,75 л"
Универсальные краски,Краска  ENCANTO GOLD BASE     LT. 4,Остаток Алматы: 1 шт,147 700 KZT,FE000GO00D,Oikos,Италия,4 л
Универсальные краски,"Краска в/э матовая Veloute база T414, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT414075,Argile,Франция,"0,75 л"
Универсальные краски,Краска  BIAMAX 07 BIANCO      LT. 1,Остаток Алматы: 1 шт,13 900 KZT,I0B700000E,Oikos,Италия,1 л
Универсальные краски,"Краска в/э матовая Veloute база T814, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT814075,Argile,Франция,"0,75 л"
Универсальные краски,"Краска в/э матовая Veloute база T822, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT822075,Argile,Франция,"0,75 л"
Универсальные краски,Краска  ENCANTO NERO BASE     LT. 1,Остаток Алматы: 1 шт,46 800 KZT,FE000NR00E,Oikos,Италия,1 л
Краски по металлу,Profilux Грунт эмаль по ржавчине 3 в 1 серая  5кг,Остаток Алматы: 57 шт,19 580 KZT,Н0000004990,Profilux,Германия,5 л
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 белая  1,9кг",Остаток Алматы: 43 шт,8 690 KZT,Н0000005007,Profilux,Германия,"1,9 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  1,9кг",Остаток Алматы: 41 шт,7 660 KZT,Н0000005013,Profilux,Германия,"1,9 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 белая  0,9кг",Остаток Алматы: 44 шт,4 200 KZT,Н0000003471,Profilux,Германия,"0,9 л"
Краски по металлу,Dufa РАДИАТОРЫ ОТОПЛЕНИЯ эмаль акриловая база1   2л,Остаток Алматы: 37 шт,21 030 KZT,МП00-012293,DUFA,Германия,2 л
Краски по металлу,Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  5кг,Остаток Алматы: 33 шт,18 770 KZT,Н0000004988,Profilux,Германия,5 л
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  0,9кг",Остаток Алматы: 35 шт,3 760 KZT,Н0000003477,Profilux,Германия,"0,9 л"
Краски по металлу,"Dufa РАДИАТОРЫ ОТОПЛЕНИЯ эмаль алкидная база1   0,75л",Остаток Алматы: 32 шт,6 670 KZT,МП00-012294,DUFA,Германия,"0,75 л"
Краски по металлу,Краска Hammerite Гладкая RAL9005 Черная 5л (новый),Остаток Алматы: 31 шт,68 430 KZT,5811070,Hammerite,Нидерланды,5 л
Краски по металлу,"Краска HAMMER д/мет интерьерная BC 0,9л",Остаток Алматы: 28 шт,11 730 KZT,5588418,Hammerite,Нидерланды,"0,9 л"
Краски по металлу,Profilux Грунт эмаль по ржавчине 3 в 1 белая  5кг,Остаток Алматы: 29 шт,20 100 KZT,Н0000004991,Profilux,Германия,5 л
Краски по металлу,"Краска HAMMER д/мет интерьерная BC 0,5л",Остаток Алматы: 22 шт,6 810 KZT,5588417,Hammerite,Нидерланды,"0,5 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 коричневая  0,9кг",Остаток Алматы: 28 шт,3 910 KZT,Н0000003499,Profilux,Германия,"0,9 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 серая  1,9кг",Остаток Алматы: 26 шт,8 180 KZT,Н0000005011,Profilux,Германия,"1,9 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 серая  0,9кг",Остаток Алматы: 25 шт,3 910 KZT,Н0000003475,Profilux,Германия,"0,9 л"
Краски по металлу,"Profilux Грунт эмаль по ржавчине 3 в 1 коричневая  1,9кг",Остаток Алматы: 17 шт,8 180 KZT,Н0000005010,Profilux,Германия,"1,9 л"
Краски по металлу,Краска Hammerite Гладкая RAL9003 Белая 5л (новый),Остаток Алматы: 15 шт,68 430 KZT,5811235,Hammerite,Нидерланды,5 л
Краски по металлу,Краска Hammerite Гладкая RAL9003 Белая 2л (новый),Остаток Алматы: 13 шт,32 600 KZT,5811177,Hammerite,Нидерланды,2 л
Краски по металлу,"Краска Hammerite Гладкая RAL7042 Серая 0,75л (новый)",Остаток Алматы: 11 шт,13 920 KZT,5819991,Hammerite,Нидерланды,"0,75 л"
Краски по металлу,"Краска Hammerite Гладкая RAL9003 Белая 0,75л (новый)",Остаток Алматы: 10 шт,13 920 KZT,5819992,Hammerite,Нидерланды,"0,75 л"
Краски по металлу,"Краска Hammerite Гладкая RAL8017 Коричневая 0,75л (новый)",Остаток Алматы: 3 шт,13 920 KZT,5819924,Hammerite,Нидерланды,"0,75 л"
Краски по металлу,"Краска Hammerite Total Глянцевая Коричневая RAL 8017 0,75л",Остаток Алматы: 3 шт,12 880 KZT,5575642,Hammerite,Нидерланды,"0,75 л"
Краски по металлу,"Краска HAMMER д/мет интерьерная BW 0,9л",Остаток Астана: 2 шт,11 730 KZT,5588416,Hammerite,Нидерланды,"0,9 л"
Краски по металлу,"Краска Hammerite Total Глянцевая Серая RAL 7042 0,75л",Остаток Алматы: 2 шт,12 880 KZT,5575846,Hammerite,Нидерланды,"0,75 л"
Краски по металлу,Краска Hammerite Гладкая RAL7016 Темно-серая 2л (новый),Остаток Алматы: 2 шт,32 600 KZT,5811237,Hammerite,Нидерланды,2 л
Краски по металлу,Краска Hammerite Гладкая RAL9005 Черная 2л (новый),Остаток Алматы: 2 шт,32 600 KZT,5810926,Hammerite,Нидерланды,2 л
Краски по металлу,"Краска HAMMER глад Вишнёвая 2,5л  2,5",Остаток Алматы: 2 шт,33 670 KZT,5163756,Hammerite,Нидерланды,"2,5 л"
Краски по металлу,"Краска HAMMER д/мет интерьерная BW 0,5л",Остаток Астана: 1 шт,6 810 KZT,5588360,Hammerite,Нидерланды,"0,5 л"
Краски по металлу,"Краска Hammerite молотковая Темно-Синяя   2,5",Остаток Алматы: 1 шт,33 670 KZT,5093374,Hammerite,Нидерланды,"2,5 л"
Краски по металлу,"Краска HAMMER глад Кирпич-кр 2,5л  2,5",Остаток Алматы: 1 шт,21 080 KZT,5163743,Hammerite,Нидерланды,"2,5 л"
Краски по металлу,"Краска Hammerite Total Глянцевая Серая RAL 7042 2,2л",Остаток Алматы: 1 шт,31 360 KZT,5575995,Hammerite,Нидерланды,"2,2 л"
Краски по дереву,Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база1   2л,Остаток Алматы: 64 шт,26 190 KZT,МП00-012544,DUFA,Германия,2 л
Краски по дереву,"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база1   0,75л",Остаток Алматы: 63 шт,11 140 KZT,МП00-012510,DUFA,Германия,"0,75 л"
Краски по дереву,"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база1   0,75л",Остаток Алматы: 62 шт,10 770 KZT,МП00-012543,DUFA,Германия,"0,75 л"
Краски по дереву,"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база1   0,75л",Остаток Алматы: 57 шт,11 510 KZT,МП00-012483,DUFA,Германия,"0,75 л"
Краски по дереву,Краска Dulux Полы и Лестницы п/глянц BW 9л,Остаток Алматы: 47 шт,124 000 KZT,5327465,Dulux,Англия,9 л
Краски по дереву,"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база1   2л",Остаток Алматы: 38 шт,27 740 KZT,МП00-012484,DUFA,Германия,2 л
Краски по дереву,Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база1   2л,Остаток Алматы: 40 шт,27 000 KZT,МП00-012511,DUFA,Германия,2 л
Краски по дереву,"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база3   0,65л",Остаток Алматы: 33 шт,11 510 KZT,МП00-012486,DUFA,Германия,"0,65 л"
Краски по дереву,"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база1   2л",Остаток Алматы: 27 шт,24 300 KZT,МП00-012376,DUFA,Германия,2 л
Краски по дереву,"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база3   1,75л",Остаток Алматы: 23 шт,24 300 KZT,МП00-012377,DUFA,Германия,"1,75 л"
Краски по дереву,"Краска Dulux Полы и Лестницы п/глянц BC 0,75л",Остаток Алматы: 19 шт,13 300 KZT,5327426,Dulux,Англия,"0,75 л"
Краски по дереву,"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база1   0,75л",Остаток Алматы: 16 шт,9 920 KZT,МП00-012373,DUFA,Германия,"0,75 л"
Краски по дереву,"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база3   0,65л",Остаток Алматы: 19 шт,9 920 KZT,МП00-012374,DUFA,Германия,"0,65 л"
Краски по дереву,"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база3   0,65л",Остаток Алматы: 12 шт,11 140 KZT,МП00-012512,DUFA,Германия,"0,65 л"
Краски по дереву,"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база3   1,75л",Остаток Алматы: 8 шт,27 000 KZT,МП00-012513,DUFA,Германия,"1,75 л"
Краски по дереву,"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база3   0,65л",Остаток Алматы: 13 шт,10 770 KZT,МП00-012545,DUFA,Германия,"0,65 л"
Краски по дереву,"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база3   1,75л",Остаток Алматы: 10 шт,26 190 KZT,МП00-012546,DUFA,Германия,"1,75 л"
Краски по дереву,"Pinotex Classic дуб  2,7",Остаток Алматы: 16 шт,16 860 KZT,5195465,Pinotex,Эстония,"2,7 л"
Краски по дереву,"Краска Dulux Мебель и Дерево мат BC 0,75л",Остаток Алматы: 12 шт,13 300 KZT,5327293,Dulux,Англия,"0,75 л"
Краски по дереву,Краска Dulux Полы и Лестницы п/глянц BC 2л,Остаток Алматы: 10 шт,32 230 KZT,5327415,Dulux,Англия,2 л
Краски по дереву,Краска Dulux Полы и Лестницы п/глянц BC 9л,Остаток Алматы: 9 шт,124 000 KZT,5327466,Dulux,Англия,9 л
Краски по дереву,Краска Dulux Мебель и Дерево мат BW 2л,Остаток Алматы: 9 шт,32 230 KZT,5327300,Dulux,Англия,2 л
Краски по дереву,"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база3   1,75л",Остаток Астана: 9 шт,27 740 KZT,МП00-012487,DUFA,Германия,"1,75 л"
Краски по дереву,"Краска Dulux Полы и Лестницы п/глянц BW 0,75л",Остаток Алматы: 4 шт,13 300 KZT,5327425,Dulux,Англия,"0,75 л"
Краски по дереву,"Краска Dulux Окна и Двери п/мат BC 0,75л",Остаток Алматы: 5 шт,13 300 KZT,5327290,Dulux,Англия,"0,75 л"
Краски по дереву,"FUTURA 40 BASE PAINT 3 полиуретановая тиксотроп.лаковая краска  0,9",Остаток Алматы: 5 шт,10 590 KZT,440003001,Teknos,Финляндия,"0,9 л"
Краски по дереву,Краска Dulux Мебель и Дерево мат BC 2л,Остаток Алматы: 2 шт,32 230 KZT,5327301,Dulux,Англия,2 л
Краски по дереву,"FUTURA 15 WHITE BASE PAINT 1 уретано-алкидная краска для мебели 2,7",Остаток Алматы: 2 шт,38 200 KZT,1350001003,Teknos,Финляндия,"2,7 л"
Краски по дереву,Краска Dulux Полы и Лестницы п/глянц BW 2л,Остаток Алматы: 1 шт,32 230 KZT,5327412,Dulux,Англия,2 л
Краски по дереву,"FUTURA 90 BASE PAINT 3 желеобразная уретано-алкидная лаковая краска  2,7",Остаток Алматы: 1 шт,31 030 KZT,420003003,Teknos,Финляндия,"2,7 л"
Краски по дереву,"FUTURA 40 WHITE BASE PAINT 1 полиуретановая тиксотроп.лаковая краска  2,7",Остаток Алматы: 1 шт,30 330 KZT,440001003,Teknos,Финляндия,"2,7 л"
Краски по дереву,"FUTURA 15 WHITE BASE PAINT 1 уретано-алкидная краска для мебели 0,9",Остаток Алматы: 1 шт,13 480 KZT,1350001001,Teknos,Финляндия,"0,9 л"
Краски по дереву,"FUTURA 15 BASE PAINT 3 уретано-алкидная краска для мебели 2,7",Остаток Алматы: 1 шт,35 310 KZT,1350003003,Teknos,Финляндия,"2,7 л"
