Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Краска в/э акриловая полуматовая, б. темная 0,75л, Architects Satinwood, Paint&Paper Library (100131",Остаток Алматы: 2 шт,43 660 KZT,PLASD075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска  IMPERIUM IMP  54 BASE LT. 1,Остаток Астана: 2 шт,81 200 KZT,FI0000054E,Oikos,Италия,1 л
"Краска в/э акриловая полуматовая, б. средняя 2,5л, Architects Satinwood, Paint&Paper Library",Остаток Алматы: 2 шт,96 580 KZT,PLASM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска Dulux Professional BINDO 7 матовая BC 0,9л",Остаток Алматы: 1 шт,7 270 KZT,5309524,Dulux,Англия,"0,9 л"
"Краска Dulux Professional BINDO 7 матовая BC 2,25л",Остаток Алматы: 1 шт,18 290 KZT,5309399,Dulux,Англия,"2,25 л"
Краска  OTTOCENTO BASE D      LT. 4,Остаток Алматы: 1 шт,203 900 KZT,FO000D000D,Oikos,Италия,4 л
"Краска в/э матовая Veloute база T412, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT412075,Argile,Франция,"0,75 л"
"Краска SOIE MATE, 1 л",Остаток Алматы: 1 шт,32 488 KZT,MD SM-10,Maitre Deco,Франция,1 л
Краска LAQUE MATE в/э мат. база светлая 10л,Остаток Алматы: 1 шт,285 000 KZT,ALMP10,Argile,Франция,10 л
Краска  KREOS BIANCO          LT. 4,Остаток Алматы: 1 шт,99 400 KZT,FK0000000D,Oikos,Италия,4 л
Краска  OTTOCENTO BASE D      LT. 1,Остаток Алматы: 1 шт,55 200 KZT,FO000D000E,Oikos,Италия,1 л
Краска в/э матовая Veloute база натуральная 0.75л,Остаток Алматы: 1 шт,36 750 KZT,AMVN075,Argile,Франция,"0,75 л"
"Краска в/э матовая влагостойкая база белая 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 1 шт,69 050 KZT,PLAR25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска  IMPERIUM IMP  TR BASE LT. 0,25",Остаток Алматы: 1 шт,16 700 KZT,FI00000TRQ,Oikos,Италия,"0,25 л"
"Краска IMPERIUM IMP  99 BASE LT. 0,25",Остаток Алматы: 1 шт,26 400 KZT,FI0000099Q,Oikos,Италия,"0,25 л"
"Краска в/э акриловая матовая база бесцветная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 1 шт,36 050 KZT,PLPFT075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска LAQUE MATE в/э мат. база натуральная 0,75л",Остаток Алматы: 1 шт,42 070 KZT,ALMN075,Argile,Франция,"0,75 л"
"Краска  IMPERIUM IMP  48 BASE LT. 0,25",Остаток Алматы: 1 шт,36 400 KZT,FI0000048Q,Oikos,Италия,"0,25 л"
Краска  SUPERCOLOR BIANCO        LT.10,Остаток Алматы: 1 шт,104 800 KZT,OISSUS000O,Oikos,Италия,10 л
Краска  VELDECOR BASE P      LT. 1,Остаток Алматы: 1 шт,24 300 KZT,TV000P000E,Oikos,Италия,1 л
Краска  KREOS BIANCO          LT. 1,Остаток Алматы: 1 шт,27 100 KZT,FK0000000E,Oikos,Италия,1 л
"Краска в/э матовая Veloute база T424, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT424075,Argile,Франция,"0,75 л"
"Краска в/э матовая Veloute база T812, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT812075,Argile,Франция,"0,75 л"
Краска  DUCA VENEZIA BASE     LT. 1,Остаток Алматы: 1 шт,20 800 KZT,FD0000000E,Oikos,Италия,1 л
"Краска в/э матовая Veloute база T142, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT142075,Argile,Франция,"0,75 л"
Краска  ENCANTO SILVER BASE   LT. 1,Остаток Алматы: 1 шт,40 900 KZT,FE000SI00E,Oikos,Италия,1 л
Краска  SUPERCOLOR BASE TR NEW   LT.10,Остаток Алматы: 1 шт,97 000 KZT,OISSUPTR1O,Oikos,Италия,10 л
Краска  IMPERIUM IMP  09 BASE LT. 1,Остаток Астана: 1 шт,54 100 KZT,FI0000009E,Oikos,Италия,1 л
Краска  IMPERIUM IMP  81 BASE LT. 1,Остаток Алматы: 1 шт,81 200 KZT,FI0000081E,Oikos,Италия,1 л
"Краска в/э матовая Veloute база T133, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT133075,Argile,Франция,"0,75 л"
Краска  ENCANTO GOLD BASE     LT. 4,Остаток Алматы: 1 шт,147 700 KZT,FE000GO00D,Oikos,Италия,4 л
"Краска в/э матовая Veloute база T414, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT414075,Argile,Франция,"0,75 л"
Краска  BIAMAX 07 BIANCO      LT. 1,Остаток Алматы: 1 шт,13 900 KZT,I0B700000E,Oikos,Италия,1 л
"Краска в/э матовая Veloute база T814, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT814075,Argile,Франция,"0,75 л"
"Краска в/э матовая Veloute база T822, 0.75л",Остаток Алматы: 1 шт,31 960 KZT,AMVT822075,Argile,Франция,"0,75 л"
Краска  ENCANTO NERO BASE     LT. 1,Остаток Алматы: 1 шт,46 800 KZT,FE000NR00E,Oikos,Италия,1 л
