Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
KELLY-MOORE 2-1-2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей сре,Остаток Алматы: 11 шт,12 250 KZT,0037-159,KELLY-MOORE,Америка,Не указан
"Ролик окантовочный, 10 см, ядро 30, полиакрил, ворс 11 мм, 2-К ручка",Остаток Алматы: 3 шт,4 510 KZT,30-1254,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм,  толщ. 15 мм, ПЭТ-щетина, нерж. обжим, ручка тверд.дерева",Остаток Астана: 10 шт,2 430 KZT,30-0033,Master color,Россия,Не указан
Скотч MAKO малярный 50мх50мм (до 80°С) желтый 831350,Остаток Алматы: 10 шт,4 780 KZT,831350,MAKO,Германия,Не указан
Ванна для краски пластиковая 610х350 мм,Остаток Алматы: 7 шт,7 630 KZT,30-1323,Master color,Россия,Не указан
"Валик, 15 см, ядро 15 мм., полиамид, ворс 12 мм, под 6 мм ручку",Остаток Алматы: 9 шт,530 KZT,30-1062,Master color,Россия,Не указан
"Круглая кисть,  Ø45 мм,  натур. щетина, 55% топс, деревянная ручка",Остаток Алматы: 9 шт,950 KZT,30-0406,Master color,Россия,Не указан
"Ролик, 18 см, ядро 47, спец. полиэстр, ворс 13 мм,8 мм ручка.",Остаток Алматы: 9 шт,3 120 KZT,30-0720,Master color,Россия,Не указан
"Накладка самоклеящаяся ремонтная, армированная алюминиевой сеткой, 150х150 мм,",Остаток Алматы: 3 шт,1 260 KZT,30-7202,Master color,Россия,Не указан
"Ручка для валика 2К, алюминий Ø 8 мм, ширина 250 мм",Остаток Алматы: 2 шт,3 470 KZT,30-1231,Master color,Россия,Не указан
"Кельма пластиковая,3 мм полотно, 280x130мм",Остаток Алматы: 7 шт,2 890 KZT,30-2010,Master color,Россия,Не указан
"Лента малярная бумажная, синяя, 48 мм x 25 м, термостойкость до 100°C, УФ-стойкость до 14 дней",Остаток Алматы: 7 шт,2 080 KZT,30-6114,Master color,Россия,Не указан
"Нож MAKO универсальный Soft Grip 18мм, TWIST-LOCK 816920SB",Остаток Астана: 7 шт,2 530 KZT,816920SB,MAKO,Германия,Не указан
"Пленка MAKO защитная универсальная 4х20,0м / толщиной 7мкм 835020",Остаток Алматы: 7 шт,4 130 KZT,835020,MAKO,Германия,Не указан
"Валик MAKO сменный полиакрил 5см для рукоятки 6мм, 2 шт в пакете 723605-02/723606-02",Остаток Астана: 7 шт,750 KZT,723605-02/723606-02,MAKO,Германия,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 14 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим,ручка тверд.де",Остаток Астана: 7 шт,1 740 KZT,30-0051,Master color,Россия,Не указан
"Макловица, 100х30 мм, 70%ПЭT/30% натур. щетина, нерж. обжим, красная пласт. ручка",Остаток Алматы: 7 шт,400 KZT,30-0582,Master color,Россия,Не указан
Рукоятка ELITE для валика 25 см,Остаток Алматы: 6 шт,8 150 KZT,613025,ANZA,Швеция,Не указан
"Валик, 25 см, ядро 47, спец. полиэстр, ворс 13 мм, под 8 мм ручку",Остаток Алматы: 2 шт,2 080 KZT,30-0717,Master color,Россия,Не указан
Маленький шпатель SPATOLA PICCOLA            111,Остаток Алматы: 6 шт,10 400 KZT,OIASPAR000,Oikos,Италия,Не указан
"Ручка для валика, оцинкованная сталь Ø6 мм, длина 35 см, ширина 10 см, для валиков 10-15 см.",Остаток Астана: 6 шт,1 040 KZT,30-1223,Master color,Россия,Не указан
Валик Филт 25 см/45мм,Остаток Алматы: 6 шт,7 080 KZT,451525,ANZA,Швеция,Не указан
набор художественных кистей,Остаток Алматы: 6 шт,1 390 KZT,30-0501,Master color,Россия,Не указан
"Кисть ""Расческа"" PETTINE IN GOMMA           A10",Остаток Алматы: 4 шт,15 900 KZT,OIAPET0G00,Oikos,Италия,Не указан
Валик MAKO сменный тканное покрытие 18 см для рукоятки 8мм высота ворса 13мм 704518,Остаток Алматы: 6 шт,3 280 KZT,704518,MAKO,Германия,Не указан
"Кисть флейц., ширина 50 мм,  толщ. 15 мм, 70% ПБT/30% светл.натур. щетина, ручка тверд.дерева",Остаток Алматы: 4 шт,2 430 KZT,30-0043,Master color,Россия,Не указан
Валик MAKO в сборе 10см велюр длинная рукоятка 728010SB,Остаток Астана: 6 шт,1 920 KZT,728010SB/728011SB,MAKO,Германия,Не указан
"Валик, 10 см, ядро 15 мм, микрофибра ""Micromix"", ворс 12 мм, под 6 мм ручку",Остаток Астана: 5 шт,630 KZT,30-1011,Master color,Россия,Не указан
"Лента малярная для деликатных поверхностей, 38 мм x 25 м",Остаток Астана: 5 шт,2 430 KZT,30-6133,Master color,Россия,Не указан
"Ванна д/краски,27х28см, пластик.",Остаток Алматы: 5 шт,700 KZT,30-1321,Master color,Россия,Не указан
Кисть MAKO плоская натур.щетина плотность 60% 60мм/14мм 352560H,Остаток Астана: 5 шт,1 490 KZT,352560H,MAKO,Германия,Не указан
"Радиаторная кисть, ширина 50 мм, толщ. 12 мм,  , нерж. обжим, деревянная ручка",Остаток Алматы: 1 шт,1 040 KZT,30-0303,Master color,Россия,Не указан
Кисть MAKO плоская 30мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352430,Остаток Алматы: 4 шт,800 KZT,352430,MAKO,Германия,Не указан
Поддон для краски 10 см,Остаток Алматы: 4 шт,2 645 KZT,621010,ANZA,Швеция,Не указан
"Кисть ""Имитация дерева"" ATTREZZO LEGNATO BY OIKOS   109",Остаток Алматы: 2 шт,21 300 KZT,OIAATTL000,Oikos,Италия,Не указан
Валик ELITE Титекс 10 см/15 мм,Остаток Алматы: 4 шт,3 090 KZT,550510,ANZA,Швеция,Не указан
"Шпатель 40mm,  нержавеющиая сталь, пластиковая ручка",Остаток Астана: 4 шт,350 KZT,30-2304,Master color,Россия,Не указан
"Шпатель, 80 мм,  нержавеющая сталь, 2К-ручка",Остаток Астана: 4 шт,1 510 KZT,30-2608,Master color,Россия,Не указан
"Лента малярная золотистая, рисовая бумага, термостойк. до 120°C, УФ-стойкость до 30 дней, 48 мм х 25",Остаток Астана: 4 шт,2 780 KZT,30-6124,Master color,Россия,Не указан
"Круглая кисть, Ø35 мм, натур. щетина, 55% топс, деревянная ручка",Остаток Алматы: 4 шт,475 KZT,30-0404,Master color,Россия,Не указан
Кисть MAKO плоская 20мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352420,Остаток Астана: 4 шт,700 KZT,352420,MAKO,Германия,Не указан
"Кисть для нанесения декоративных материалов, 100 мм",Остаток Астана: 4 шт,4 510 KZT,30-0066,Master color,Россия,Не указан
"Шпатель 60mm нержавеющая сталь, пластиковая ручка",Остаток Астана: 4 шт,440 KZT,30-2306,Master color,Россия,Не указан
"Макловица 3х10, 70% ПЭT/30% натур. щетина, нерж.обжим, 2-к ручка",Остаток Алматы: 3 шт,1 300 KZT,30-0592,Master color,Россия,Не указан
"Ванна д/краски,33х353см, пластик.",Остаток Алматы: 3 шт,880 KZT,30-1322,Master color,Россия,Не указан
Набор BASIC  Валик Анлон с рукояткой и поддоном 25 см,Остаток Алматы: 3 шт,12 230 KZT,800163,ANZA,Швеция,Не указан
"Шпатель, 120 мм , нержавеющая сталь, 2К-ручка",Остаток Астана: 3 шт,1 970 KZT,30-2612,Master color,Россия,Не указан
Набор Elite Валик Титекс с рукояткой и поддоном 25 см,Остаток Алматы: 3 шт,18 050 KZT,800160,ANZA,Швеция,Не указан
Кисть BASIC радиаторная 70 мм.,Остаток Алматы: 3 шт,5 880 KZT,113270,ANZA,Швеция,Не указан
Кисть MAKO плоская 40мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352440,Остаток Алматы: 3 шт,1 060 KZT,352440,MAKO,Германия,Не указан
Квардратный тампон с исскуственной замшей на деревянной основе TAMPONE QUADRATO IN PELLE  103,Остаток Алматы: 2 шт,29 000 KZT,OIATAMLT00,Oikos,Италия,Не указан
Валик МАКО в сборе полиамид Goldfaden 10см 723303SB,Остаток Алматы: 3 шт,2 000 KZT,723303SB,MAKO,Германия,Не указан
Кисть MAKO флейцевая смеш.щетина плотность 70% 60мм/14мм 354360,Остаток Алматы: 3 шт,1 330 KZT,354360,MAKO,Германия,Не указан
"Валик МАКО в сборе mako tex plus,10см короткая рукоятка 725406SB",Остаток Астана: 3 шт,2 530 KZT,725406SB,MAKO,Германия,Не указан
"Губка MAKO шлифов., благородный абразивный слой, нежная/средняя, 100х70х25мм 840000M",Остаток Астана: 3 шт,1 030 KZT,840000M,MAKO,Германия,Не указан
"Шпатель, 20 мм, нержавающая сталь, 2К-ручка",Остаток Алматы: 2 шт,1 160 KZT,30-2602,Master color,Россия,Не указан
"Лента рисовая 38ммx50м красная акрл.кл.,UV120, 11мк,терм.100",Остаток Алматы: 2 шт,6 500 KZT,96073899,Color Expert,Германия,Не указан
Кисть ELITE плоская 50мм,Остаток Алматы: 2 шт,8 740 KZT,150450,ANZA,Швеция,Не указан
Удлинитель MAKO телескопический стальной 110-200см Ø 21/23мм 765541/765542,Остаток Астана: 2 шт,5 270 KZT,765541/765542,MAKO,Германия,Не указан
Валик MAKO сменный микрофазер 10см для рукоятки 6мм 2 шт в пакете,Остаток Алматы: 1 шт,1 770 KZT,724510-02,MAKO,Германия,Не указан
Набор Elite Валик Филт с рукояткой и поддоном 10 см,Остаток Алматы: 2 шт,7 100 KZT,810013,ANZA,Швеция,Не указан
Кисть PLATINUM  плоская 50 мм.,Остаток Алматы: 2 шт,9 970 KZT,149550,ANZA,Швеция,Не указан
