Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- Темно-корич- Castle Br), банка 0,175л",Остаток Алматы: 3 шт,12 000 KZT,350102,TimberCare,Нидерланды,"0,175 л"
"Покрытие суперстойкое п-прозрачное TimberCare Facade Color Stain (цвет- полупрозрачный), банка 0,72л",Остаток Алматы: 3 шт,18 900 KZT,350057,TimberCare,Нидерланды,"0,72 л"
"Тонирующее масло TimberCare Wood Stain (цвет- Благородный дуб- Noble oak), банка 0,75л",Остаток Алматы: 3 шт,23 100 KZT,350006,TimberCare,Нидерланды,"0,75 л"
"Покрытие суперстойкое кроющее TimberCare Solid Color Stain (цвет- Белый- White base), банка 0,713л",Остаток Алматы: 3 шт,22 900 KZT,350053,TimberCare,Нидерланды,"0,713 л"
"Pinotex Classic красное дерево  2,7",Остаток Алматы: 3 шт,18 970 KZT,5195450,Pinotex,Эстония,"2,7 л"
"Масло для столешниц TimberCare Kitchenware Oil (цвет- прозрачный), банка 0,25л",Остаток Алматы: 2 шт,11 000 KZT,350039,TimberCare,Нидерланды,"0,25 л"
"WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 0,9",Остаток Алматы: 2 шт,8 510 KZT,9482003001,Teknos,Финляндия,"0,9 л"
"HELO 15  уретано-алкидный ,специальный лак 0,9",Остаток Алматы: 2 шт,13 000 KZT,550260001,Teknos,Финляндия,"0,9 л"
"HELO 90  специальный лак 0,9",Остаток Алматы: 2 шт,12 400 KZT,550150001,Teknos,Финляндия,"0,9 л"
"Проф. лак на акриловой основе TimberCare Pro Aqua Varnish (цвет- полуглянц.-semi-gloss), банка 2,5л",Остаток Алматы: 2 шт,67 200 KZT,350075,TimberCare,Нидерланды,"2,5 л"
"HELO 40  специальный лак 0,9",Остаток Алматы: 2 шт,12 200 KZT,550370001,Teknos,Финляндия,"0,9 л"
"HELO 15  уретано-алкидный ,специальный лак 9",Остаток Алматы: 2 шт,85 500 KZT,550260010,Teknos,Финляндия,9 л
"Защитное масло с твердым воском TimberCare Hard Wax Oil (цвет- прозрачный матовый), банка 0,75л",Остаток Алматы: 2 шт,32 100 KZT,350052,TimberCare,Нидерланды,"0,75 л"
"HELO 15  уретано-алкидный ,специальный лак 2,7",Остаток Алматы: 2 шт,39 500 KZT,550260003,Teknos,Финляндия,"2,7 л"
"HELO 40  специальный лак 2,7",Остаток Алматы: 2 шт,36 200 KZT,550370003,Teknos,Финляндия,"2,7 л"
